annot_name	trait1	trait2	rho	rho_corrected	se_rho	pvalue	pvalue_corrected	corr	corr_corrected	h2_1	h2_2	p	p0
ALL_	Klimentidis2018mvpa	covidhgi2020A2v5alleurLeaveUKBB	3.81383878003e-4	0.0020787985612	4.52790777231e-4	0.399622267845	4.40958824421e-6	0.0324825594807	0.177051789042	0.0490306526514	0.00281161920996	1044331	1044331
ALL_	Klimentidis2018mvpa	covidhgi2020B2v5alleurLeaveUKBB	8.13370450626e-5	4.96103837971e-4	4.09791766001e-4	0.842666523715	0.22603945661	0.00826185347516	0.0503920103641	0.0489376242494	0.00198051858584	1039283	1039283
ALL_	Klimentidis2018mvpa	covidhgi2020C2v5alleurLeaveUKBB	9.40927715411e-4	0.0016098934985	4.26687619292e-4	0.0274406915924	1.61294604087e-4	0.0889620422963	0.152210856541	0.049017299911	0.00228219972402	1057664	1057664
ALL_	Day2018sociso	covidhgi2020A2v5alleur	0.00171148736944	9.09022629814e-4	3.82591599268e-4	7.69835839843e-6	0.0175033237373	0.181262209509	0.0962738336931	0.0408758276498	0.00218105339842	1045841	1045841
ALL_	Day2018sociso	covidhgi2020B2v5alleur	0.00215371622536	0.00162633340323	3.26959250665e-4	4.48473025491e-11	6.55458840617e-7	0.273454483866	0.206493388561	0.0408342980531	0.00151908392302	1043098	1043098
ALL_	Day2018sociso	covidhgi2020C2v5alleur	0.00115622508285	0.00118664572446	3.86342061691e-4	0.00276476410137	0.00212993399337	0.119652868841	0.122800973042	0.0409706844971	0.00227911018383	1062747	1062747
ALL_	Day2018sociso	covidhgi2020A2v5alleurLeaveUKBB	0.0015606332807	9.70390413955e-4	4.4140250119e-4	4.06813256138e-4	0.0279188143702	0.145614616439	0.0905421085604	0.0408487028927	0.00281198834582	1044569	1044569
ALL_	Day2018sociso	covidhgi2020B2v5alleurLeaveUKBB	0.00156140788122	0.00137807916356	4.04233758538e-4	1.12170066914e-4	6.51741211228e-4	0.173662936673	0.153272746596	0.04080071381	0.00198130206246	1039468	1039468
ALL_	Day2018sociso	covidhgi2020C2v5alleurLeaveUKBB	8.37531444986e-5	2.16715937729e-4	4.14082113277e-4	0.839711777018	0.600720523473	0.00866336411722	0.0224169383703	0.0409424042081	0.00228273640776	1057650	1057650
ALL_	Evangelou2018dbp	covidhgi2020A2v5alleur	1.48069276532e-6	3.61409442856e-5	6.21404571851e-4	0.99809878969	0.953621112422	8.23231420615e-5	0.00200935410798	0.148783064008	0.00217436543017	1042724	1042724
ALL_	Evangelou2018dbp	covidhgi2020B2v5alleur	3.11578621773e-4	7.32617894004e-6	5.42972484024e-4	0.56607696104	0.989234688905	0.0207633351857	4.88210353126e-4	0.148672756175	0.00151464090505	1040265	1040265
ALL_	Evangelou2018dbp	covidhgi2020C2v5alleur	-4.59162057785e-4	3.19971090644e-4	5.61118977447e-4	0.413187535399	0.568516615591	-0.0249736652826	0.0174031167915	0.148886576315	0.00227044962468	1059801	1059801
ALL_	Evangelou2018dbp	covidhgi2020A2v5alleurLeaveUKBB	2.54881054009e-4	7.51754262497e-4	7.18839815845e-4	0.722909648194	0.295658788351	0.012488952293	0.0368353118943	0.148659155476	0.00280176324871	1041670	1041670
ALL_	Evangelou2018dbp	covidhgi2020B2v5alleurLeaveUKBB	7.89334235206e-4	0.00156091425599	6.86727319038e-4	0.250385165559	0.02302766652	0.0461294650726	0.0912213564821	0.148435347881	0.00197254857855	1037057	1037057
ALL_	Evangelou2018dbp	covidhgi2020C2v5alleurLeaveUKBB	-4.92962884884e-4	3.79064159853e-4	6.02879443166e-4	0.41353953391	0.529508709224	-0.026790872002	0.0206008600213	0.148813923451	0.00227515599498	1054919	1054919
ALL_	Evangelou2018sbp	covidhgi2020A2v5alleur	-1.47948716124e-4	-2.43108325353e-4	5.915054078e-4	0.802492740908	0.681073027158	-0.00819889150487	-0.0134723628276	0.149913876522	0.00217205234956	1041756	1041756
ALL_	Evangelou2018sbp	covidhgi2020B2v5alleur	1.7198784981e-4	-4.73661199327e-5	5.44109181087e-4	0.751933668421	0.930629700495	0.0114185363064	-0.00314470912185	0.149804077086	0.00151443635433	1039351	1039351
ALL_	Evangelou2018sbp	covidhgi2020C2v5alleur	-7.57474095656e-4	-5.96487246257e-4	5.93455898964e-4	0.201821904174	0.314844868971	-0.0410389753174	-0.0323169142241	0.15005439726	0.00227035529583	1058830	1058830
ALL_	Evangelou2018sbp	covidhgi2020A2v5alleurLeaveUKBB	1.46171405379e-4	5.15950109533e-4	6.75360526833e-4	0.82864897549	0.444889596262	0.0071414102847	0.0252074707023	0.149796280888	0.00279676415529	1040755	1040755
ALL_	Evangelou2018sbp	covidhgi2020B2v5alleurLeaveUKBB	8.55083179376e-4	0.00198258235959	7.45019445596e-4	0.251078927839	0.00778823711394	0.0498196831492	0.115511130793	0.1495329761	0.00197005262545	1036225	1036225
