id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	Isq	egger_intercept	se	pval
6Ta9SL	aAfSda	covidhgi2020B2v6alleur	Evangelou2018pp	5e-8	FALSE	0.8869324614659299	4.424633999763887e-4	0.00197205563918552	0.822589562169264
MeN30H	djN53L	covidhgi2020C2v6alleur	Evangelou2018pp	5e-8	FALSE	0.8865208682458694	-1.909892857327999e-4	6.801454925898741e-4	0.7790069531554187
ByPeML	elsHQO	covidhgi2020A2v6alleur	Howard2018dep	5e-8	FALSE	0	0.006414255688383658	0.039939132049579745	0.8750797505581306
g6FU85	EAsG2k	covidhgi2020B2v6alleur	Howard2018dep	5e-8	FALSE	0	0.007178710734536481	0.026659346901444718	0.7922917951455112
g6FU85	EAsG2k	covidhgi2020B2v6alleur	Howard2018dep	5e-8	TRUE	0	-0.022794882548371052	0.021816152584634322	0.3185046301443371
Cb9mXS	ZZfqUL	covidhgi2020C2v6alleur	Howard2018dep	5e-8	FALSE	0	0.0024560079628423172	0.0067704023313250455	0.7230956951597484
QGWQ8s	NoQR0x	covidhgi2020A2v6alleur	Jansen2018insom	5e-8	FALSE	0.01993220043280811	0.02884398679013524	0.024474207466696058	0.26344465873384365
IZySnR	kfur1D	covidhgi2020B2v6alleur	Jansen2018insom	5e-8	FALSE	0.16155459412083187	0.0290630121104138	0.01348152036944048	0.054101446384646985
4Tw8WL	85OZeH	covidhgi2020C2v6alleur	Jansen2018insom	5e-8	FALSE	0.24227826151768886	0.0014797100215338233	0.00433506487570405	0.7392824132506224
NIJAfC	I9P2KH	covidhgi2020A2v6alleur	Liu2019smkint	5e-8	FALSE	0.30128913371936666	0.013461468969431635	0.012819303512038926	0.2967600609849593
ZHKG1v	eT3lCq	covidhgi2020B2v6alleur	Liu2019smkint	5e-8	FALSE	0.1674572461151126	0.00942580617538109	0.008548725923312656	0.27342744455882717
0enIHz	A2w2Ej	covidhgi2020C2v6alleur	Liu2019smkint	5e-8	FALSE	0.125093089658419	0.002048994106063239	0.0025404979711819743	0.4222689265975612
zD7mvw	0u7lka	covidhgi2020A2v6alleur	Liu2019smkcpd	5e-8	FALSE	0.972569736157207	0.010176261060634536	0.012139413787911887	0.41177891600824934
zD7mvw	0u7lka	covidhgi2020A2v6alleur	Liu2019smkcpd	5e-8	TRUE	0.9735771580078351	0.004985816756690607	0.010661026387709932	0.645341764671121
N8BTNd	RrsMlN	covidhgi2020B2v6alleur	Liu2019smkcpd	5e-8	FALSE	0.9715568588408819	4.324008679960285e-4	0.0070647483020256	0.951803125019642
U5Miv8	EQpdL2	covidhgi2020C2v6alleur	Liu2019smkcpd	5e-8	FALSE	0.9710805119632765	-1.5732465334315234e-5	0.002271426030118561	0.9945423186599498
1yuwai	1Pkr4p	covidhgi2020A2v6alleur	Kunkle2019load	5e-8	FALSE	0.9892039850997273	0.0020472516871432394	0.009714984060493046	0.8356021745198453
8Q41xP	udWraD	covidhgi2020B2v6alleur	Kunkle2019load	5e-8	FALSE	0.9896366775065469	-3.6474914696622195e-4	0.005656040792801958	0.94933358374178
rZxDtI	35jyQn	covidhgi2020C2v6alleur	Kunkle2019load	5e-8	FALSE	0.9898690485704088	0.0014388821066969185	0.0016907963136895876	0.4065924161920609
gWTyar	HwsdJv	covidhgi2020A2v6alleur	Revez2020vit250hd	5e-8	FALSE	0.9794037830806367	-0.003325117471677867	0.004908291205828971	0.4995969900223589
gWTyar	HwsdJv	covidhgi2020A2v6alleur	Revez2020vit250hd	5e-8	TRUE	0.9795777275797363	-0.0016602744299128824	0.004420503841202627	0.7079832196370253
du3axS	S76tFj	covidhgi2020B2v6alleur	Revez2020vit250hd	5e-8	FALSE	0.9798416698216241	-6.563400516143025e-4	0.003094242618943436	0.8324234526868164
du3axS	S76tFj	covidhgi2020B2v6alleur	Revez2020vit250hd	5e-8	TRUE	0.9800184738750354	7.372315897952623e-4	0.0025893959465502917	0.7764257213246505
D0Jtxr	NBzLzC	covidhgi2020C2v6alleur	Revez2020vit250hd	5e-8	FALSE	0.9800045976629649	6.619277002621662e-4	0.0014581194039234304	0.6507858271189865
D0Jtxr	NBzLzC	covidhgi2020C2v6alleur	Revez2020vit250hd	5e-8	TRUE	0.9801814504540302	0.00158333773144818	9.43662325670092e-4	0.09634775193865977
T9nWp5	eqbrTq	covidhgi2020A2v6alleur	Okada2014rartis	5e-8	FALSE	0.9885968877231534	0.008709211073898505	0.009718160419959937	0.37526516968054313
T9nWp5	eqbrTq	covidhgi2020A2v6alleur	Okada2014rartis	5e-8	TRUE	0.9888570215275634	0.004637564515928071	0.006129640672300557	0.45362717610086767
PBNpaF	BUjDpg	covidhgi2020B2v6alleur	Okada2014rartis	5e-8	FALSE	0.9893571482888464	0.007044789292127543	0.0059926035621600815	0.24638362067268602
PBNpaF	BUjDpg	covidhgi2020B2v6alleur	Okada2014rartis	5e-8	TRUE	0.9895964126331879	0.005356001921172332	0.004847354900158064	0.2756308367387583
gLULDL	U7Yrz4	covidhgi2020C2v6alleur	Okada2014rartis	5e-8	FALSE	0.989368290827818	-0.0011984327992212059	0.0012840582605361504	0.35599137544303017
v6KMaI	YG2Nvb	covidhgi2020A2v6alleur	Nalls2019pd	5e-8	FALSE	0.8214900507230202	-0.021081346593753998	0.022623749934257	0.3644733866611527
v6KMaI	YG2Nvb	covidhgi2020A2v6alleur	Nalls2019pd	5e-8	TRUE	0.799785978272965	-0.00816845562704117	0.01844448070291721	0.6637908413482616
CWDU5h	FaH0xg	covidhgi2020B2v6alleur	Nalls2019pd	5e-8	FALSE	0.8029592689740152	-0.006490507467927894	0.016626678737628815	0.7011133132505833
CWDU5h	FaH0xg	covidhgi2020B2v6alleur	Nalls2019pd	5e-8	TRUE	0.7860021183855884	0.014674086554428057	0.010764980351661029	0.19295362789272463
PfE1Z9	ys8L4h	covidhgi2020C2v6alleur	Nalls2019pd	5e-8	FALSE	0.794222366700029	-0.0030952369429190127	0.004723302703237549	0.5210368069487752
PfE1Z9	ys8L4h	covidhgi2020C2v6alleur	Nalls2019pd	5e-8	TRUE	0.5598334940834103	-8.035278996761911e-4	0.0036680971715712567	0.8297659163554041
S3wYhv	k15Rog	covidhgi2020A2v6alleur	Nicolas2018als	5e-8	FALSE	0.8168160408172631	0.03189590021997434	0.03860681319080252	0.4551353462408693
EEHjmi	3ixF7z	covidhgi2020B2v6alleur	Nicolas2018als	5e-8	FALSE	0.8235028792472038	0.007190734460556115	0.018039706535584697	0.7105454614049882
x4ong8	kcYQzK	covidhgi2020C2v6alleur	Nicolas2018als	5e-8	FALSE	0.8107280660592636	0.006035375411774795	0.008346799770839925	0.5096522314567209
vaD3Eg	NPzz62	covidhgi2020A2v6alleur	Ligthart2018crp	5e-8	FALSE	0.9848986401813055	0.007608928372906447	0.008328721885265507	0.36591831880963044
vaD3Eg	NPzz62	covidhgi2020A2v6alleur	Ligthart2018crp	5e-8	TRUE	0.9851745288397301	5.050021829188444e-4	0.006484942678863911	0.9382902922859979
M09Hbh	dABKSM	covidhgi2020B2v6alleur	Ligthart2018crp	5e-8	FALSE	0.9846225563159264	0.00898870072349196	0.0056819607344723725	0.12065997545988286
M09Hbh	dABKSM	covidhgi2020B2v6alleur	Ligthart2018crp	5e-8	TRUE	0.9848851442913692	0.003197324604901887	0.0034864119765147567	0.3640994093531291
WvgRvR	T2aGU2	covidhgi2020C2v6alleur	Ligthart2018crp	5e-8	FALSE	0.984826043253949	0.005933571112529937	0.003264979549430981	0.07597939396783086
