id.exposure	id.outcome	outcome	exposure	pt	method	nsnp	outliers_removed	b	sd	t.stat	pval
suztTe	7OkHAW	covidhgi2020B2v5alleurLeaveUKBB	Liu2019smkcpd	5e-8	MR-PRESSO	22	Outlier-corrected	NA	NA	NA	NA
0eObHb	lxncqP	covidhgi2020C2v5alleurLeaveUKBB	Liu2019smkcpd	5e-8	MR-PRESSO	22	Raw	-0.04253937632837874	0.07718915887843844	-0.5511055820075976	0.587377502412483
0eObHb	lxncqP	covidhgi2020C2v5alleurLeaveUKBB	Liu2019smkcpd	5e-8	MR-PRESSO	22	Outlier-corrected	NA	NA	NA	NA
A5JCJR	OpLJZq	covidhgi2020A2v5alleurLeaveUKBB	Liu2019drnkwk	5e-8	MR-PRESSO	37	Raw	0.22142913240685136	0.28258952186206027	0.7835716304971032	0.438416578115715
A5JCJR	OpLJZq	covidhgi2020A2v5alleurLeaveUKBB	Liu2019drnkwk	5e-8	MR-PRESSO	37	Outlier-corrected	NA	NA	NA	NA
uzt1YV	LjMVus	covidhgi2020B2v5alleurLeaveUKBB	Liu2019drnkwk	5e-8	MR-PRESSO	36	Raw	0.11119008912632226	0.2138139723742462	0.5200319132170759	0.606315240153227
uzt1YV	LjMVus	covidhgi2020B2v5alleurLeaveUKBB	Liu2019drnkwk	5e-8	MR-PRESSO	36	Outlier-corrected	NA	NA	NA	NA
VB3dla	KmRnwv	covidhgi2020C2v5alleurLeaveUKBB	Liu2019drnkwk	5e-8	MR-PRESSO	36	Raw	0.06216695589890858	0.09742125712547443	0.6381251662441616	0.5275456249939702
VB3dla	KmRnwv	covidhgi2020C2v5alleurLeaveUKBB	Liu2019drnkwk	5e-8	MR-PRESSO	36	Outlier-corrected	NA	NA	NA	NA
76p3OR	FKkksy	covidhgi2020A2v5alleurLeaveUKBB	Kunkle2019load	5e-8	MR-PRESSO	20	Raw	-0.042804333773852114	0.047984544511929544	-0.8920441823348023	0.3835278055700575
76p3OR	FKkksy	covidhgi2020A2v5alleurLeaveUKBB	Kunkle2019load	5e-8	MR-PRESSO	20	Outlier-corrected	NA	NA	NA	NA
2DOh1I	0fC1lo	covidhgi2020B2v5alleurLeaveUKBB	Kunkle2019load	5e-8	MR-PRESSO	18	Raw	-0.012857537476632297	0.038312187531859526	-0.3355991475542937	0.7412792660236581
2DOh1I	0fC1lo	covidhgi2020B2v5alleurLeaveUKBB	Kunkle2019load	5e-8	MR-PRESSO	18	Outlier-corrected	NA	NA	NA	NA
XSd8yl	khNQNr	covidhgi2020C2v5alleurLeaveUKBB	Kunkle2019load	5e-8	MR-PRESSO	19	Raw	0.003943646659527701	0.011347130393807884	0.34754572501253217	0.7322122008997523
XSd8yl	khNQNr	covidhgi2020C2v5alleurLeaveUKBB	Kunkle2019load	5e-8	MR-PRESSO	19	Outlier-corrected	NA	NA	NA	NA
p46nFG	uGtJt7	covidhgi2020A2v5alleurLeaveUKBB	Revez2020vit250hd	5e-8	MR-PRESSO	108	Raw	0.14069213870384675	0.1290742520152386	1.0900093280202512	0.2781577170313546
p46nFG	uGtJt7	covidhgi2020A2v5alleurLeaveUKBB	Revez2020vit250hd	5e-8	MR-PRESSO	108	Outlier-corrected	NA	NA	NA	NA
R22wyp	RUuTei	covidhgi2020B2v5alleurLeaveUKBB	Revez2020vit250hd	5e-8	MR-PRESSO	107	Raw	0.17014687318492183	0.08965146117130718	1.8978706087099124	0.060433564936582466
R22wyp	RUuTei	covidhgi2020B2v5alleurLeaveUKBB	Revez2020vit250hd	5e-8	MR-PRESSO	107	Outlier-corrected	NA	NA	NA	NA
ZZvea8	wXfnvN	covidhgi2020C2v5alleurLeaveUKBB	Revez2020vit250hd	5e-8	MR-PRESSO	108	Raw	-0.03170552754093105	0.053417351062949064	-0.5935436128902767	0.5540700489770023
ZZvea8	wXfnvN	covidhgi2020C2v5alleurLeaveUKBB	Revez2020vit250hd	5e-8	MR-PRESSO	107	Outlier-corrected	-0.010075445053482157	0.04194450587206054	-0.2402089342574295	0.810632221685067
5b10nh	tXz91E	covidhgi2020A2v5alleurLeaveUKBB	Okada2014rartis	5e-8	MR-PRESSO	44	Raw	-0.05292685730738725	0.03636511058887609	-1.4554295711004193	0.1528127441452087
5b10nh	tXz91E	covidhgi2020A2v5alleurLeaveUKBB	Okada2014rartis	5e-8	MR-PRESSO	43	Outlier-corrected	-0.023960524012484156	0.026129528142875027	-0.916990306195701	0.3643834618026879
ksvfhB	7tIlCC	covidhgi2020B2v5alleurLeaveUKBB	Okada2014rartis	5e-8	MR-PRESSO	44	Raw	-0.042102504645233615	0.029202613012330222	-1.4417375810670323	0.1566203144392289
